,UNIT,DATEn,TIMEn,Hour,DESCn,ENTRIESn_hourly,EXITSn_hourly,maxpressurei,maxdewpti,mindewpti,minpressurei,meandewpti,meanpressurei,fog,rain,meanwindspdi,mintempi,meantempi,maxtempi,precipi,thunder
13,R003,2011-05-01,04:00:00,4,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
14,R003,2011-05-01,12:00:00,12,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
15,R003,2011-05-01,16:00:00,16,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
16,R003,2011-05-01,20:00:00,20,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
17,R004,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
18,R004,2011-05-01,04:00:00,4,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
19,R004,2011-05-01,08:00:00,8,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
20,R004,2011-05-01,12:00:00,12,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
21,R004,2011-05-01,16:00:00,16,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
22,R004,2011-05-01,20:00:00,20,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
23,R005,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
24,R005,2011-05-01,04:00:00,4,REGULAR,0.0,2.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
25,R005,2011-05-01,12:00:00,12,REGULAR,0.0,2.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
26,R005,2011-05-01,16:00:00,16,REGULAR,1.0,7.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
27,R005,2011-05-01,20:00:00,20,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
28,R006,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
29,R006,2011-05-01,04:00:00,4,REGULAR,0.0,1.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
30,R006,2011-05-01,08:00:00,8,REGULAR,2.0,1.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
31,R006,2011-05-01,12:00:00,12,REGULAR,0.0,7.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
32,R006,2011-05-01,16:00:00,16,REGULAR,2.0,3.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
33,R006,2011-05-01,20:00:00,20,REGULAR,1.0,3.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
34,R007,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
35,R007,2011-05-01,04:00:00,4,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
36,R007,2011-05-01,12:00:00,12,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
37,R007,2011-05-01,16:00:00,16,REGULAR,0.0,1.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
38,R008,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
39,R008,2011-05-01,04:00:00,4,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
40,R008,2011-05-01,12:00:00,12,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
41,R008,2011-05-01,16:00:00,16,REGULAR,0.0,3.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
42,R008,2011-05-01,20:00:00,20,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
43,R009,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
44,R009,2011-05-01,04:00:00,4,REGULAR,0.0,4.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
45,R009,2011-05-01,12:00:00,12,REGULAR,1.0,20.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
46,R009,2011-05-01,16:00:00,16,REGULAR,0.0,17.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
47,R009,2011-05-01,20:00:00,20,REGULAR,0.0,13.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
48,R010,2011-05-01,02:00:00,2,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
49,R010,2011-05-01,06:00:00,6,REGULAR,1643.0,517.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
50,R010,2011-05-01,10:00:00,10,REGULAR,1090.0,899.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
51,R010,2011-05-01,14:00:00,14,REGULAR,2779.0,2349.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
52,R010,2011-05-01,18:00:00,18,REGULAR,3804.0,3457.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
53,R010,2011-05-01,22:00:00,22,REGULAR,4526.0,2510.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
54,R011,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
55,R011,2011-05-01,04:00:00,4,REGULAR,1666.0,1036.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
56,R011,2011-05-01,08:00:00,8,REGULAR,597.0,455.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
57,R011,2011-05-01,12:00:00,12,REGULAR,6723.0,5693.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
58,R011,2011-05-01,16:00:00,16,REGULAR,6994.0,6794.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
59,R011,2011-05-01,20:00:00,20,REGULAR,8024.0,7869.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
60,R012,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
61,R012,2011-05-01,02:52:46,2,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
62,R012,2011-05-01,04:00:00,4,REGULAR,1774.0,1289.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
63,R012,2011-05-01,08:00:00,8,REGULAR,693.0,1083.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
64,R012,2011-05-01,12:00:00,12,REGULAR,4609.0,6018.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
65,R012,2011-05-01,16:00:00,16,REGULAR,8099.0,9457.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
66,R012,2011-05-01,20:00:00,20,REGULAR,10223.0,8016.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
67,R013,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
68,R013,2011-05-01,04:00:00,4,REGULAR,608.0,122.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
69,R013,2011-05-01,08:00:00,8,REGULAR,126.0,168.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
70,R013,2011-05-01,12:00:00,12,REGULAR,677.0,1229.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
71,R013,2011-05-01,16:00:00,16,REGULAR,1973.0,2219.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
72,R013,2011-05-01,20:00:00,20,REGULAR,3186.0,1496.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
73,R014,2011-05-01,01:00:00,1,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
74,R014,2011-05-01,05:00:00,5,REGULAR,28.0,48.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
75,R014,2011-05-01,09:00:00,9,REGULAR,59.0,211.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
76,R014,2011-05-01,13:00:00,13,REGULAR,237.0,615.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
77,R014,2011-05-01,17:00:00,17,REGULAR,618.0,714.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
78,R014,2011-05-01,21:00:00,21,REGULAR,663.0,390.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
79,R015,2011-05-01,02:00:00,2,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
80,R015,2011-05-01,06:00:00,6,REGULAR,52.0,45.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
81,R015,2011-05-01,10:00:00,10,REGULAR,124.0,585.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
82,R015,2011-05-01,14:00:00,14,REGULAR,847.0,1802.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
83,R015,2011-05-01,18:00:00,18,REGULAR,1616.0,1364.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
84,R015,2011-05-01,22:00:00,22,REGULAR,1270.0,513.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
85,R016,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
86,R016,2011-05-01,04:00:00,4,REGULAR,175.0,100.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
87,R016,2011-05-01,12:00:00,12,REGULAR,375.0,592.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
88,R016,2011-05-01,16:00:00,16,REGULAR,587.0,620.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
89,R016,2011-05-01,20:00:00,20,REGULAR,674.0,570.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
90,R017,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
91,R017,2011-05-01,04:00:00,4,REGULAR,491.0,342.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
92,R017,2011-05-01,08:00:00,8,REGULAR,346.0,398.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
93,R017,2011-05-01,12:00:00,12,REGULAR,1353.0,1855.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
94,R017,2011-05-01,16:00:00,16,REGULAR,2103.0,2025.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
95,R017,2011-05-01,20:00:00,20,REGULAR,2445.0,1933.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
96,R018,2011-05-01,00:00:00,0,REGULAR,0.0,0.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
97,R018,2011-05-01,04:00:00,4,REGULAR,1262.0,3131.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
98,R018,2011-05-01,08:00:00,8,REGULAR,1655.0,460.0,30.31,42.0,35.0,30.23,39.0,30.27,0.0,0.0,5.0,50.0,60.0,69.0,0.0,0.0
72992,R421,2011-05-17,13:00:00,13,REGULAR,472.0,425.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72993,R421,2011-05-17,17:00:00,17,REGULAR,712.0,499.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72994,R421,2011-05-17,21:00:00,21,REGULAR,531.0,702.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72995,R422,2011-05-17,01:00:00,1,REGULAR,77.0,49.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72996,R422,2011-05-17,05:00:00,5,REGULAR,15.0,8.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72997,R422,2011-05-17,09:00:00,9,REGULAR,595.0,237.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72998,R422,2011-05-17,13:00:00,13,REGULAR,289.0,233.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
72999,R422,2011-05-17,17:00:00,17,REGULAR,350.0,254.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73000,R422,2011-05-17,21:00:00,21,REGULAR,288.0,254.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73001,R423,2011-05-17,01:00:00,1,REGULAR,118.0,336.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73002,R423,2011-05-17,05:00:00,5,REGULAR,43.0,49.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73003,R423,2011-05-17,09:00:00,9,REGULAR,1706.0,468.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73004,R423,2011-05-17,13:00:00,13,REGULAR,772.0,350.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73005,R423,2011-05-17,17:00:00,17,REGULAR,727.0,584.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73006,R423,2011-05-17,21:00:00,21,REGULAR,570.0,1029.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73007,R424,2011-05-17,00:00:00,0,REGULAR,1602.0,1841.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73008,R424,2011-05-17,04:00:00,4,REGULAR,17.0,60.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73009,R424,2011-05-17,12:00:00,12,REGULAR,1852.0,469.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73010,R424,2011-05-17,16:00:00,16,REGULAR,446.0,346.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73011,R424,2011-05-17,20:00:00,20,REGULAR,437.0,862.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73012,R425,2011-05-17,01:00:00,1,REGULAR,103.0,114.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73013,R425,2011-05-17,05:00:00,5,REGULAR,40.0,26.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73014,R425,2011-05-17,09:00:00,9,REGULAR,1094.0,193.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73015,R425,2011-05-17,13:00:00,13,REGULAR,440.0,196.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73016,R425,2011-05-17,17:00:00,17,REGULAR,397.0,334.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73017,R425,2011-05-17,21:00:00,21,REGULAR,465.0,383.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73018,R426,2011-05-17,01:00:00,1,REGULAR,50.0,47.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73019,R426,2011-05-17,05:00:00,5,REGULAR,18.0,4.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73020,R426,2011-05-17,09:00:00,9,REGULAR,736.0,169.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73021,R426,2011-05-17,13:00:00,13,REGULAR,299.0,98.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73022,R426,2011-05-17,17:00:00,17,REGULAR,549.0,150.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73023,R426,2011-05-17,21:00:00,21,REGULAR,315.0,228.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73024,R427,2011-05-17,01:00:00,1,REGULAR,66.0,54.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73025,R427,2011-05-17,05:00:00,5,REGULAR,41.0,19.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73026,R427,2011-05-17,09:00:00,9,REGULAR,1011.0,116.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73027,R427,2011-05-17,13:00:00,13,REGULAR,297.0,65.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73028,R427,2011-05-17,17:00:00,17,REGULAR,344.0,123.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73029,R427,2011-05-17,21:00:00,21,REGULAR,313.0,222.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73030,R428,2011-05-17,01:00:00,1,REGULAR,130.0,190.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73031,R428,2011-05-17,05:00:00,5,REGULAR,84.0,60.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73032,R428,2011-05-17,09:00:00,9,REGULAR,1825.0,106.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73033,R428,2011-05-17,13:00:00,13,REGULAR,549.0,165.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73034,R428,2011-05-17,17:00:00,17,REGULAR,552.0,403.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73035,R428,2011-05-17,21:00:00,21,REGULAR,326.0,698.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
73036,R429,2011-05-17,00:00:00,0,REGULAR,435.0,684.0,29.98,57.0,54.0,29.9,55.0,29.93,0.0,1.0,12.0,52.0,56.0,60.0,0.67,0.0
